Period,Lower Bound,Forecast,Upper Bound
145,696.661029707395,1289.74016300334,2127.93027856002
146,371.205179144431,707.042650629641,1200.19457955701
147,398.990757929047,761.886863969782,1296.55993960765
148,298.389024387854,571.218000037578,974.530391505982
149,235.260017809285,451.496034618654,772.207861151707
150,175.104938912735,336.888687926832,577.62891424388
151,217.633776492968,419.751298882938,721.493233577037
152,197.028439827803,380.949968593457,656.419432190296
153,195.834380936897,379.574340784209,655.660796189112
154,254.261169783136,494.029058309949,855.459417118332
155,342.348756627779,666.809028053149,1157.4670876602
156,541.839965322973,1057.93693787983,1840.86944832303
157,591.074352049692,1156.86506892861,2017.89128345538
158,662.938385055221,1300.65307779798,2274.17689679211
159,593.618750247393,1167.45337812907,2046.18994117121
160,996.764813380513,1965.00756178743,3452.31342121765
161,1145.93011950655,2264.46317381743,3987.92381850244
162,1195.64781213398,2368.32912746162,4180.76062731866
163,1182.90156687488,2348.63292164139,4155.81441111673
164,974.897576330122,1940.21306877937,3441.23493944191
165,1029.04480314982,2052.79131978179,3649.46988969812
166,1513.72135344513,3026.72364118822,5393.54198603356
167,2039.88049439694,4088.31301699942,7302.27219528937
168,6431.44443826672,12919.8309270562,23130.2113965612
