hour|tweets
2015-11-08 02:00:00+0000|562
2015-11-08 03:00:00+0000|645
2015-11-08 04:00:00+0000|447
2015-11-08 05:00:00+0000|408
2015-11-08 06:00:00+0000|321
2015-11-08 07:00:00+0000|366
2015-11-08 08:00:00+0000|379
2015-11-08 09:00:00+0000|635
2015-11-08 10:00:00+0000|490
2015-11-08 11:00:00+0000|318
2015-11-08 12:00:00+0000|430
2015-11-08 13:00:00+0000|717
2015-11-08 14:00:00+0000|709
2015-11-08 15:00:00+0000|719
2015-11-08 16:00:00+0000|885
2015-11-08 17:00:00+0000|961
2015-11-08 18:00:00+0000|1043
2015-11-08 19:00:00+0000|1300
2015-11-08 20:00:00+0000|1422
2015-11-08 21:00:00+0000|1575
2015-11-08 22:00:00+0000|2313
2015-11-08 23:00:00+0000|2407
2015-11-09 00:00:00+0000|279
2015-11-09 01:00:00+0000|7775
2015-11-09 02:00:00+0000|88598
2015-11-09 03:00:00+0000|40429
2015-11-09 04:00:00+0000|12861
2015-11-09 05:00:00+0000|10379
2015-11-09 06:00:00+0000|6563
2015-11-09 07:00:00+0000|3683
2015-11-09 08:00:00+0000|2810
2015-11-09 09:00:00+0000|2339
2015-11-09 10:00:00+0000|1982
2015-11-09 11:00:00+0000|2582
2015-11-09 12:00:00+0000|2869
2015-11-09 13:00:00+0000|3741
2015-11-09 14:00:00+0000|3133
2015-11-09 15:00:00+0000|2916
2015-11-09 16:00:00+0000|2568
2015-11-09 17:00:00+0000|2827
2015-11-09 18:00:00+0000|2724
2015-11-09 19:00:00+0000|2647
2015-11-09 20:00:00+0000|3883
2015-11-09 21:00:00+0000|7761
2015-11-09 22:00:00+0000|5446
2015-11-09 23:00:00+0000|2850
2015-11-10 00:00:00+0000|2942
2015-11-10 01:00:00+0000|6421
2015-11-15 02:00:00+0000|931
2015-11-15 03:00:00+0000|594
2015-11-15 04:00:00+0000|586
2015-11-15 05:00:00+0000|464
2015-11-15 06:00:00+0000|295
2015-11-15 07:00:00+0000|235
2015-11-15 08:00:00+0000|266
2015-11-15 09:00:00+0000|281
2015-11-15 10:00:00+0000|269
2015-11-15 11:00:00+0000|385
2015-11-15 12:00:00+0000|478
2015-11-15 13:00:00+0000|548
2015-11-15 14:00:00+0000|609
2015-11-15 15:00:00+0000|949
2015-11-15 16:00:00+0000|645
2015-11-15 17:00:00+0000|1012
2015-11-15 18:00:00+0000|842
2015-11-15 19:00:00+0000|1100
2015-11-15 20:00:00+0000|1220
2015-11-15 21:00:00+0000|1807
2015-11-15 22:00:00+0000|1313
2015-11-15 23:00:00+0000|2049
2015-11-16 00:00:00+0000|2377
2015-11-16 01:00:00+0000|8847
2015-11-16 02:00:00+0000|74426
2015-11-16 03:00:00+0000|47586
2015-11-16 04:00:00+0000|17966
2015-11-16 05:00:00+0000|11663
2015-11-16 06:00:00+0000|7582
2015-11-16 07:00:00+0000|4017
2015-11-16 08:00:00+0000|3032
2015-11-16 09:00:00+0000|1742
2015-11-16 10:00:00+0000|1630
2015-11-16 11:00:00+0000|1953
2015-11-16 12:00:00+0000|2590
2015-11-16 13:00:00+0000|2985
2015-11-16 14:00:00+0000|2716
2015-11-16 15:00:00+0000|2369
2015-11-16 16:00:00+0000|2153
2015-11-16 17:00:00+0000|3081
2015-11-16 18:00:00+0000|2810
2015-11-16 19:00:00+0000|3511
2015-11-16 20:00:00+0000|4289
2015-11-16 21:00:00+0000|7094
2015-11-16 22:00:00+0000|7672
2015-11-16 23:00:00+0000|3857
2015-11-17 00:00:00+0000|3192
2015-11-17 01:00:00+0000|7091
2015-11-22 02:00:00+0000|741
2015-11-22 03:00:00+0000|460
2015-11-22 04:00:00+0000|504
2015-11-22 05:00:00+0000|374
2015-11-22 06:00:00+0000|308
2015-11-22 07:00:00+0000|227
2015-11-22 08:00:00+0000|288
2015-11-22 09:00:00+0000|254
2015-11-22 10:00:00+0000|255
2015-11-22 11:00:00+0000|326
2015-11-22 12:00:00+0000|447
2015-11-22 13:00:00+0000|754
2015-11-22 14:00:00+0000|822
2015-11-22 15:00:00+0000|869
2015-11-22 16:00:00+0000|822
2015-11-22 17:00:00+0000|1402
2015-11-22 18:00:00+0000|1718
2015-11-22 19:00:00+0000|1723
2015-11-22 20:00:00+0000|1673
2015-11-22 21:00:00+0000|1238
2015-11-22 22:00:00+0000|1406
2015-11-22 23:00:00+0000|2051
2015-11-23 00:00:00+0000|2851
2015-11-23 01:00:00+0000|8736
2015-11-23 02:00:00+0000|105610
2015-11-23 03:00:00+0000|31858
2015-11-23 04:00:00+0000|13808
2015-11-23 05:00:00+0000|13747
2015-11-23 06:00:00+0000|7828
2015-11-23 07:00:00+0000|4576
2015-11-23 08:00:00+0000|4382
2015-11-23 09:00:00+0000|2912
2015-11-23 10:00:00+0000|2539
2015-11-23 11:00:00+0000|2459
2015-11-23 12:00:00+0000|3810
2015-11-23 13:00:00+0000|6377
2015-11-23 14:00:00+0000|4615
2015-11-23 15:00:00+0000|3984
2015-11-23 16:00:00+0000|3235
2015-11-23 17:00:00+0000|4011
2015-11-23 18:00:00+0000|3795
2015-11-23 19:00:00+0000|4818
2015-11-23 20:00:00+0000|5734
2015-11-23 21:00:00+0000|11141
2015-11-23 22:00:00+0000|8695
2015-11-23 23:00:00+0000|4400
2015-11-24 00:00:00+0000|4236
2015-11-24 01:00:00+0000|16413
